Temperature;Revenue
R$ 0,00;1
R$ 1,00;56
R$ 4,00;132
R$ 9,00;251
R$ 10,00;284
R$ 10,00;257
R$ 13,00;342
R$ 13,00;34
R$ 15,00;378
R$ 16,00;383
R$ 16,00;382
R$ 17,00;426
R$ 17,00;449
R$ 18,00;414
R$ 18,00;442
R$ 19,00;474
R$ 19,00;455
R$ 19,00;483
R$ 19,00;451
R$ 19,00;45
R$ 20,00;469
R$ 20,00;542
R$ 21,00;501
R$ 21,00;5
R$ 21,00;49
R$ 21,00;492
R$ 22,00;551
R$ 23,00;541
R$ 24,00;579
R$ 24,00;538
R$ 24,00;604
R$ 24,00;56
R$ 25,00;608
R$ 25,00;565
R$ 25,00;609
R$ 26,00;649
R$ 26,00;573
R$ 26,00;571
R$ 27,00;644
R$ 27,00;655
R$ 27,00;619
R$ 27,00;645
R$ 27,00;582
R$ 28,00;629
R$ 28,00;649
R$ 29,00;676
R$ 29,00;637
R$ 29,00;656
R$ 30,00;697
R$ 31,00;703
R$ 37,00;852
R$ 38,00;858
R$ 42,00;966
R$ 45,00;1
0.3;33
10.1;273
10.2;277
10.3;274
10.4;220
10.5;279
10.5;322
11.1;307
11.1;281
11.2;294
11.2;289
11.2;279
11.5;326
11.6;317
11.6;322
11.6;258
11.7;285
12.1;279
12.1;301
12.2;336
12.2;298
12.3;298
12.3;320
12.3;336
12.4;338
12.4;334
12.5;304
12.5;280
12.5;275
12.5;284
12.6;320
12.6;307
12.7;277
12.8;296
13.2;333
13.4;345
13.4;336
13.4;269
13.7;290
13.8;309
14.2;359
14.3;323
14.3;335
14.4;368
14.4;352
14.4;362
14.4;316
14.6;324
14.7;344
14.8;382
14.8;323
14.9;385
14.9;297
15.1;367
15.1;368
15.2;375
15.2;323
15.3;354
15.3;357
15.6;363
15.6;351
15.7;403
15.7;397
15.8;410
15.9;380
16.1;373
16.2;384
16.2;396
16.3;375
16.4;382
16.4;407
16.4;377
16.4;395
16.5;391
16.6;415
16.6;402
16.8;380
17.1;502
17.1;442
17.2;429
17.2;391
17.2;413
17.3;416
17.3;406
17.4;406
17.5;392
17.6;406
17.6;413
17.6;403
17.7;402
17.7;386
17.7;449
17.7;410
17.9;441
18.2;474
18.2;454
18.3;419
18.4;411
18.5;470
18.5;428
18.5;438
18.5;464
18.6;428
18.6;421
18.6;444
18.6;433
18.7;468
18.7;473
18.8;422
18.8;431
18.8;403
18.8;437
18.9;468
18.9;477
18.9;445
18.9;476
19.1;518
19.1;451
19.1;407
19.2;464
19.2;475
19.2;446
19.3;487
19.3;447
19.3;460
19.3;453
19.4;461
19.5;449
19.5;430
19.7;484
19.7;507
19.8;508
19.8;457
19.8;494
19.8;449
19.8;459
19.9;497
19.9;472
19.9;417
20.1;478
20.1;474
20.2;478
20.2;450
20.2;492
20.3;475
20.3;438
20.3;499
20.3;476
20.5;452
20.5;418
20.5;514
20.6;488
20.6;499
20.6;478
20.6;426
20.9;509
20.9;495
21.1;504
21.1;522
21.2;498
21.2;494
21.3;527
21.4;521
21.4;489
21.5;484
21.5;534
21.6;529
21.7;497
21.7;479
21.7;546
21.7;506
21.7;538
21.8;535
21.8;522
21.8;468
21.8;531
21.9;494
22.1;521
22.2;516
22.2;513
22.2;497
22.2;538
22.2;572
22.3;551
22.3;536
22.3;501
22.3;525
22.4;494
22.4;521
22.4;490
22.4;567
22.5;536
22.5;508
22.6;522
22.7;525
22.7;519
22.7;533
22.7;544
22.7;547
22.9;517
22.9;551
23.1;540
23.1;544
23.1;537
23.1;553
23.2;507
23.3;556
23.4;587
23.4;507
23.5;540
23.5;554
23.5;535
23.5;543
23.5;502
23.6;543
23.6;571
23.8;554
23.9;524
23.9;585
24.2;529
24.2;587
24.2;589
24.3;566
24.3;570
24.4;595
24.4;573
24.5;559
24.5;597
24.5;527
24.6;535
24.6;600
24.6;532
24.6;539
24.6;595
24.7;604
24.7;604
24.8;541
24.8;539
24.8;595
24.8;531
24.9;564
24.9;599
25.1;551
25.1;584
25.2;576
25.2;588
25.2;572
25.3;575
25.3;564
25.4;605
25.4;604
25.4;582
25.5;613
25.5;604
25.5;597
25.5;584
25.5;609
25.5;584
25.5;626
25.6;592
25.6;580
25.8;622
25.8;573
25.9;597
26.1;626
26.1;600
26.2;675
26.2;564
26.2;595
26.2;659
26.2;618
26.3;597
26.4;575
26.4;610
26.4;647
26.5;555
26.6;628
26.6;613
26.9;635
26.9;616
26.9;600
27.1;595
27.2;622
27.2;628
27.2;643
27.2;659
27.2;616
27.3;613
27.4;624
27.4;624
27.4;613
27.6;563
27.6;662
27.6;650
27.6;635
27.6;641
27.8;661
27.8;644
27.8;652
27.8;619
27.8;655
27.9;628
28.1;666
28.3;656
28.3;626
28.3;640
28.4;633
28.5;644
28.5;727
28.5;652
28.5;608
28.6;657
28.7;667
28.7;690
28.8;654
28.8;652
28.8;632
28.8;634
28.8;655
28.9;642
28.9;663
28.9;683
29.1;686
29.2;680
29.2;653
29.3;655
29.3;679
29.3;698
29.4;643
29.4;720
29.5;683
29.5;619
29.6;650
29.6;630
29.8;696
29.8;703
29.8;660
29.8;644
29.9;684
3.7;72
30.1;715
30.1;699
30.1;692
30.3;649
30.3;680
30.4;692
30.5;705
30.5;685
30.5;691
30.6;703
30.7;652
30.7;681
30.8;707
30.9;697
31.1;685
31.2;747
31.3;698
31.5;732
31.5;692
31.6;716
31.7;738
31.7;734
31.8;741
31.9;690
32.1;712
32.1;676
32.2;774
32.3;752
32.4;748
32.5;740
32.5;707
32.5;760
32.7;819
32.7;794
32.8;776
32.9;686
32.9;756
33.3;750
33.3;783
33.4;757
33.6;775
33.6;751
33.8;798
34.1;772
34.5;810
34.7;757
34.9;799
35.1;782
35.1;808
35.2;810
35.3;810
35.4;797
35.4;805
35.5;829
35.5;801
35.7;810
36.2;825
36.6;828
36.8;842
37.1;871
37.2;893
38.1;820
38.2;851
38.2;857
38.7;917
38.7;892
39.6;906
39.6;899
39.8;936
39.9;876
4.3;119
4.9;189
40.4;927
40.5;919
41.8;970
42.6;922
5.4;146
5.4;243
5.9;187
5.9;171
6.1;159
6.4;191
6.4;192
6.6;196
6.8;200
7.2;222
7.3;224
7.3;217
7.4;193
7.6;213
7.8;199
8.1;250
8.6;222
8.7;242
8.8;238
8.8;243
8.8;247
8.8;265
9.1;223
9.1;213
9.4;292
9.5;279
9.6;236
9.7;275
9.8;229
9.9;259
